ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORDENADAS-ETRS89,COORDENADAS-WGS84,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,CANTIDAD_JUEGOS_POR_TIPO,CAPACIDAD_MAX
18229,Area_infantil,174,Los_rosales,17.0,Villaverde,Operativo,"[441904.3, 4467806.45]","[-3.68419052, 40.35880079]",Calle,Unanimidad,065,28041.0,"Calle_unanimidad, 065",20062192.0,2003-01-01T00:00:00Z,17058,AE21,14,Infantil,"{'Deportivas': 0, 'Infantiles': 7, 'Mayores': 0}",14
4997106,Area_infantil,154,La_concepcion,15.0,Ciudad_lineal,Operativo,"[444927.56, 4476867.547]","[-3.64937179, 40.44063372]",Calle,Juan_perez_zuñiga,002,28027.0,"Calle_juan_perez_zuñiga, 002",11110658.0,2007-01-01T00:00:00Z,15142,AE21,8,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",5
5068873,Area_infantil,215,Corralejos,21.0,Barajas,Operativo,"[449990.48, 4479627.43]","[-3.58989427, 40.46581636]",Calle,Barcarrota,010,28042.0,"Calle_barcarrota, 010",11141811.0,2019-03-29T00:00:00Z,21070,AE21,8,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",37
5071645,Area_infantil,27,Atocha,2.0,Arganzuela,Operativo,"[442118.23, 4472201.05]","[-3.68207037, 40.39840474]",Calle,Mendez_alvaro,057,28045.0,"Calle_mendez_alvaro, 057",31056019.0,5071645-FECHA_INSTALACION-incorrecta,2091,AE21,6,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",32
5071674,Area_infantil,27,Atocha,2.0,Arganzuela,Operativo,"[442019.32, 4472384.94]","[-3.68325258, 40.40005444]",Calle,Mendez_alvaro,037,28045.0,"Calle_mendez_alvaro, 037",11010547.0,2019-04-12T00:00:00Z,2092,AE21,7,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",22
5132777,Area_infantil,12,Embajadores,1.0,Centro,Operativo,"[440127.65, 4473074.7]","[-3.70560759, 40.40613427]",Calle,Casino,005,28005.0,"Calle_casino, 005",11002264.0,2019-03-06T00:00:00Z,1045,AE21,12,Infantil,"{'Deportivas': 0, 'Infantiles': 16, 'Mayores': 0}",23
5133174,Area_infantil,12,Embajadores,1.0,Centro,Operativo,"[440084.07, 4473098.63]","[-3.70612341, 40.40634671]",Calle,Casino,16B,28005.0,"Calle_casino, 16B",31009380.0,2019-06-03T00:00:00Z,1046,AE21,6,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",31
5158912,Area_infantil,183,Ensanche_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[449821.71, 4468328.295]","[-3.59099365, 40.36401596]",Calle,Pilar_de_madariaga_rojo,013,28051.0,"Calle_pilar_de_madariaga_rojo, 013",31029419.0,2019-07-15T00:00:00Z,18092,AE21,38,Infantil,"{'Deportivas': 0, 'Infantiles': 3, 'Mayores': 0}",29
5166868,Area_infantil,183,Ensanche_de_vallecas,18.0,Villa_de_vallecas,Operativo,"[449290.911, 4468495.27]","[-3.59725829, 40.36548808]",Avenida,Las_suertes,061,28051.0,"Avenida_las_suertes, 061",31061751.0,2019-07-17T00:00:00Z,18094,AE21,39,Infantil,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",20
5174681,Area_infantil,134,Palomeras_sureste,13.0,Puente_de_vallecas,Operativo,"[445246.07, 4470550.86]","[-3.64507277, 40.38375033]",Calle,Campo_de_la_paloma,044,28018.0,"Calle_campo_de_la_paloma, 044",11096269.0,2019-07-26T00:00:00Z,13169,AE21,6,Infantil,"{'Deportivas': 0, 'Infantiles': 0, 'Mayores': 0}",25
